name, geometry, date (mm/dd/yr), short wavelength displacement, source file
Series 10, POINT(-118.80732102477252 34.01706934711741), 02/21/2018, 0.0047643185, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180221T014913Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 03/05/2018, 0.0028512478, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180305T014913Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 03/17/2018, -0.0031721592, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180317T014913Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 04/10/2018, 0.0072151423, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180410T014914Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 04/22/2018, 0.0061089993, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180422T014914Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 05/04/2018, 0.0043032169, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180504T014915Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 05/16/2018, 0.0032684803, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180516T014915Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 05/28/2018, 0.0036594868, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180528T014916Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 06/09/2018, 0.0064730346, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180609T014917Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 06/21/2018, 0.0003621578, OPERA_L3_DISP-S1_IW_F16940_VV_20171211T014915Z_20180621T014918Z_v1.0_20250409T160927Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/03/2018, 0.0050170422, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20180703T014919Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 07/15/2018, 0.0055110455, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20180715T014919Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 09/25/2018, 0.0051295757, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20180925T014923Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 11/18/2018, 0.0002275109, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20181118T015005Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 12/30/2018, 0.0049293041, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20181230T014921Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 01/11/2019, 0.0008408427, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190111T014921Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 01/17/2019, -0.0051176548, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190117T015002Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 01/23/2019, 0.0029952526, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190123T014920Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 02/10/2019, -0.0013847351, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190210T015001Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 02/22/2019, 0.0030705929, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190222T015001Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 03/06/2019, 0.0008590221, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190306T015002Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 03/12/2019, 0.0027191639, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190312T014920Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 03/18/2019, 0.0041630268, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190318T015002Z_v1.0_20250410T002605Z.nc
Series 10, POINT(-118.80732102477252 34.01706934711741), 03/24/2019, 0.0034863949, OPERA_L3_DISP-S1_IW_F16940_VV_20180621T014918Z_20190324T014920Z_v1.0_20250410T002605Z.nc
